node_id,x_coord,y_coord
109,116.49211,39.784444
110,116.475474,39.791649
111,116.474683,39.792933
112,116.473619,39.79474
113,116.563603,39.750309
114,116.552172,39.745691
115,116.551117,39.745483
116,116.551115,39.745349
117,116.55191,39.745484
118,116.563663,39.750228
119,116.56701,39.75164
120,116.567284,39.750541
121,116.567101,39.750365
122,116.567484,39.747391
123,116.56716,39.75015
124,116.568451,39.751381
125,116.567009,39.753174
126,116.565142,39.751133
127,116.567627,39.750611
128,116.53303,39.744844
129,116.533114,39.74476
130,116.550872,39.745323
131,116.551544,39.76703
132,116.550511,39.768599
133,116.543801,39.776627
134,116.550371,39.768542
135,116.551398,39.766984
136,116.576928,39.755258
137,116.564392,39.750557
138,116.574995,39.754735
139,116.518041,39.807152
140,116.515112,39.80983
141,116.513701,39.811027
142,116.511751,39.812657
143,116.502087,39.775848
144,116.502059,39.775769
145,116.53937,39.76075
146,116.539333,39.760795
147,116.538726,39.761568
148,116.511342,39.772863
149,116.511374,39.772948
150,116.511503,39.7733
151,116.49342,39.804469
152,116.495286,39.802177
153,116.496033,39.80126
154,116.501775,39.812907
155,116.495615,39.810135
156,116.490973,39.80808
157,116.49084,39.808021
158,116.511087,39.772968
159,116.474595,39.799144
160,116.474034,39.800212
161,116.550661,39.75401
162,116.550859,39.753166
163,116.550934,39.753067
164,116.551018,39.752956
165,116.551346,39.75249
166,116.554773,39.749671
167,116.556036,39.748788
168,116.557508,39.747936
169,116.558371,39.747481
170,116.55978,39.746657
171,116.560498,39.746061
172,116.560836,39.74565
173,116.56187,39.744503
174,116.567448,39.737629
175,116.566395,39.739931
176,116.565432,39.74183
177,116.563494,39.743169
178,116.542498,39.765779
179,116.541792,39.766573
180,116.536508,39.771054
181,116.534764,39.772529
182,116.527933,39.780915
183,116.524935,39.784664
184,116.54368,39.766969
185,116.539823,39.765202
186,116.538179,39.764134
187,116.536998,39.763402
188,116.534862,39.7622
189,116.531809,39.762418
190,116.530069,39.763079
191,116.527356,39.764136
192,116.525586,39.764813
193,116.52408,39.765408
194,116.523332,39.765682
195,116.5613,39.804824
196,116.557512,39.807037
197,116.551195,39.810671
198,116.550986,39.810789
199,116.547259,39.812904
200,116.547021,39.813048
201,116.542015,39.818062
202,116.541899,39.818226
203,116.539605,39.821412
204,116.539379,39.821303
205,116.541633,39.818164
206,116.541738,39.818015
207,116.546879,39.812916
208,116.54711,39.8128
209,116.550987,39.810428
210,116.551195,39.810323
211,116.557374,39.806881
212,116.561087,39.804763
213,116.561256,39.804574
214,116.57328,39.754025
215,116.576049,39.754467
216,116.5751,39.75488
217,116.57307,39.754449
218,116.560721,39.762076
219,116.567395,39.753852
220,116.577514,39.754076
221,116.57709,39.754598
222,116.575388,39.756729
223,116.573345,39.759242
224,116.571368,39.761706
225,116.571257,39.761831
226,116.569051,39.764552
227,116.566766,39.767396
228,116.566691,39.767566
229,116.566429,39.767494
230,116.566501,39.767339
231,116.568784,39.764445
232,116.570999,39.761722
233,116.571108,39.761601
234,116.573105,39.759161
235,116.57514,39.756695
236,116.577306,39.754012
237,116.555536,39.746276
238,116.559284,39.746194
239,116.561173,39.753337
240,116.560839,39.75066
241,116.560126,39.748502
242,116.560939,39.747604
243,116.559201,39.747665
244,116.558825,39.74843
245,116.55975,39.749689
246,116.563026,39.749811
247,116.561068,39.74929
248,116.560557,39.750191
249,116.560888,39.750447
250,116.544637,39.767255
251,116.552588,39.770822
252,116.550876,39.773113
253,116.548724,39.775685
254,116.546454,39.7781
255,116.546334,39.778219
256,116.543443,39.780974
257,116.54026,39.783595
258,116.540113,39.783699
259,116.537697,39.785682
260,116.534441,39.789287
261,116.534278,39.789472
262,116.531273,39.792202
263,116.528895,39.795251
264,116.526887,39.798321
265,116.52443,39.801468
266,116.52126,39.804568
267,116.517798,39.807083
268,116.521113,39.804452
269,116.524243,39.801373
270,116.52667,39.79825
271,116.528729,39.79518
272,116.53107,39.792099
273,116.53411,39.789389
274,116.534262,39.789205
275,116.537565,39.785567
276,116.539931,39.783597
277,116.540053,39.783496
278,116.543268,39.780861
279,116.546161,39.778131
280,116.546274,39.778008
281,116.548539,39.775581
282,116.550714,39.773039
283,116.552429,39.770758
284,116.552653,39.777601
285,116.552776,39.777661
286,116.556161,39.779314
287,116.559667,39.780994
288,116.559888,39.781101
289,116.563465,39.782826
290,116.567656,39.784856
291,116.566338,39.768966
292,116.554723,39.77497
293,116.554881,39.775047
294,116.558512,39.776791
295,116.560271,39.777663
296,116.561965,39.778469
297,116.562207,39.778588
298,116.560992,39.771884
299,116.560987,39.771969
300,116.560712,39.774279
301,116.553897,39.781774
302,116.55381,39.781868
303,116.568415,39.778018
304,116.564452,39.776089
305,116.564251,39.776
306,116.562535,39.775183
307,116.557529,39.771695
308,116.557511,39.771803
309,116.550683,39.780202
310,116.550595,39.780308
311,116.548119,39.783249
312,116.545622,39.786229
313,116.545525,39.786335
314,116.542897,39.789217
315,116.540266,39.792102
316,116.540128,39.792274
317,116.537684,39.795249
318,116.535264,39.798232
319,116.53284,39.801207
320,116.53035,39.804306
321,116.530209,39.804467
322,116.527806,39.807648
323,116.525464,39.810734
324,116.524888,39.811324
325,116.54548,39.786159
326,116.548494,39.787662
327,116.551999,39.789293
328,116.552233,39.789423
329,116.555814,39.791141
330,116.55937,39.792847
331,116.559494,39.792906
